published_date,title,respondent,summary,download_url,citation,case_number,referred_by,referring_to,enforcement
2020-03-19,Breach of the Protection Obligation by SSA Group International,SSA Group International,A warning was issued to SSA Group International for failing to put in place reasonable security arrangements to prevent the unauthorised access of 53 individuals’ course registration information which were publicly available via its webpage.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/SSA-Group-International-Pte-Ltd---Summary-of-Decision---02032020.pdf,,DP-1909-B4729,[],"['[2018] SGPDPC 12','[2018] SGPDPC 21']",['warning']
2020-03-19,Breach of the Protection and Accountability Obligations by MCST 3593 and Breach of the Protection Obligation by New-E Security,MCST 3593,Both MCST 3593 and New-E Security failed to put in place reasonable security arrangements to prevent the unauthorised disclosure of CCTV footage of a common property at Marina Bay Residences. MCST3593 also failed to appoint a data protection officer and put in place policies and practices necessary for the organisation to comply with the PDPA.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---MCST-3593-and-Others---02032020.pdf,[2020] SGPDPC 6,DP-1903-B3554,[],"['[2016] SGPDPC 1', '[2019] SGPDPC 23', '[2017] SGPDPC 5', '[2019] SGPDPC 21']",[]
2020-03-19,Breach of the Protection and Accountability Obligations by MCST 4375 and Breach of the Protection Obligation by A Best Security Management,MCST 4375,Both MCST 4375 and A Best Security Management failed to put in place reasonable security arrangements to prevent the unauthorised disclosure of CCTV footage of an individual injured by a falling glass door at Alexandra Central Mall. MCST 4375 also failed to put in place policies and practices necessary for the organisation to comply with the PDPA.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/MCST-4375-and-Others---Decision---03022020.pdf,[2020] SGPDPC 4,DP-1903-B3437,[],"['[2017] SGPDPC 15', '[2019] SGPDPC 23', '[2017] SGPDPC 5', '[2018] SGPDPC 27', '[2019] SGPDPC 21']",[]
2020-02-11,Breach of the Protection and Accountability Obligations by Henry Park Primary School Parents' Association,Henry Park Primary School Parents' Association,"Directions were imposed on Henry Park Primary School Parents’ Association for breaches of the PDPA. First, the organisation failed to put in place reasonable measures to protect its members’ personal data. Second, it did not appoint a data protection officer. Lastly, it did not have written policies and practices necessary to ensure its compliance with the PDPA.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---HPPA.pdf,,DP-1903-B3531,[],[],[]
2020-02-11,Breach of the Protection Obligation by AXA Insurance,AXA Insurance,A warning was issued to AXA Insurance for failing to put in place reasonable security arrangements to prevent the unauthorised disclosure of personal data of its policyholders. The personal data of 87 individuals was sent in an email to an unintended recipient.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---AXA-SG.pdf,,DP-1907-B4201,[],[],['warning']
2020-02-11,Breach of the Protection Obligation by NTUC Income,NTUC Income,A warning was issued to NTUC Income for failing to put in place reasonable security arrangements to prevent the unauthorised disclosure of personal data to users making enquiries through its website. 123 users received automated acknowledgement emails attached with files containing personal data belonging to 17 individuals.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---NTUC-Income-Insurance-Co-Operative-Limited--24012020.pdf,,DP-1907-B4288,[],[],['warning']
2020-02-11,Breach of the Protection Obligation by Royal Caribbean Cruises (Asia),Royal Caribbean Cruises (Asia),"A financial penalty of $16,000 was imposed on Royal Caribbean Cruises (Asia) for failing to put in place reasonable security arrangements to protect the personal data of its customers. The personal data was subjected to a ransomware attack.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---Royal-Caribbean-04022020.pdf,[2020] SGPDPC 5,DP-1904-B3721,[],"['[2016] SGPDPC 22', '[2019] SGPDPC 3', '[2019] SGPDPC 26']","[['financial', 16000]]"
2020-02-11,Breach of the Protection Obligation by SPH Magazines,SPH Magazines,"A financial penalty of $26,000 was imposed on SPH Magazines for failing to put in place reasonable security arrangements to prevent the unauthorised access of personal data of members of HardwareZone forum site.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---SPH-Magazines-Pte-Ltd.pdf,[2020] SGPDPC 3,DP-1802-B1731,[],['[2016] SGPDPC 3'],"[['financial', 26000]]"
2020-02-11,Breach of the Protection Obligation by SCAL Academy,SCAL Academy,"A financial penalty of $15,000 was imposed on SCAL Academy for failing to put in place reasonable security arrangements to protect the personal data of individuals on its website. These individuals had provided their personal data to SCAL Academy for registration purposes to attend its courses, seminars or workshops.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---SCAL-Academy---080120.pdf,[2020] SGPDPC 2,DP-1811-B3061,[],[],"[['financial', 15000]]"
2020-02-11,Breach of the Protection Obligation by Singtel,Singtel,"A financial penalty of $9,000 was imposed on Singtel for failing to put in place reasonable security arrangements to prevent the unauthorised disclosure of personal data of some of its customers via its My Singtel mobile application.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---Singapore-Telecommunications-Limited-311219.pdf,[2019] SGPDPC 49,DP-1802-B1732,[],[],"[['financial', 9000]]"
2020-01-09,Breach of the Protection Obligation by L'Oreal Singapore,L'Oreal Singapore,A warning was issued to L’Oreal Singapore for failing to put in place reasonable security arrangements to prevent the unauthorised disclosure of personal data of individuals on its website. The personal data of 7 individuals were compromised from a data breach incident involving its website.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Summary-Decision---Loreal-Singapore-Pte-Ltd---261219.pdf?la=en,,DP-1812-B3091,[],[],['warning']
2020-01-09,Breach of the Protection Obligation by Creative,Creative,"A financial penalty of $15,000 was imposed on Creative for failing to put in place reasonable security arrangements to prevent the unauthorised disclosure of personal data of users of its online support forum.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---Creative-Technology-Ltd--020120.pdf?la=en,[2020] SGPDPC 1,DP-1811-B3058,[],['[2018] SGPDPC 10'],"[['financial', 15000]]"
2020-01-09,Breach of the Protection and Accountability Obligations by Society of Tourist Guides,Society of Tourist Guides,"Directions, including a financial penalty of $20,000, were imposed on Society of Tourist Guides for breaches of the PDPA. First, the organisation failed to put in place reasonable measures to protect its members’ personal data. Second, it did not appoint a data protection officer. Lastly, it did not have written policies and practices necessary to ensure its compliance with the PDPA.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision--Society-of-Tourist-Guides-Singapore-261219.pdf?la=en,[2019] SGPDPC 48,DP-1903-B3445,[],"['[2018] SGPDPC 26', '[2019] SGPDPC 5', '[2017] SGPDPC 14', '[2017] SGPDPC 15']","[['financial', 20000]]"
2020-01-09,Breach of the Protection Obligation by PeopleSearch,PeopleSearch,"A financial penalty of S$5,000 was imposed on PeopleSearch for failing to put in place reasonable security arrangements to protect personal data of its clients. The incident resulted in the data being subjected to a ransomware attack.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---PeopleSearch-Pte-Ltd---261219.pdf?la=en,[2019] SGPDPC 47,DP-1903-B3521,[],"['[2018] SGPDPC 4', '[2017] SGPDPC 18', '[2019] SGPDPC 26']",[]
2020-01-09,Breach of the Protection Obligation by National Healthcare Group,National Healthcare Group,"A financial penalty of $6,000 was imposed on National Healthcare Group for failing to put in place reasonable security arrangements to protect a list containing the personal data of partner doctors and members of the public from being publicly accessible online.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---National-Healthcare-Group-Pte-Ltd---261219.pdf?la=en,[2019] SGPDPC 46,DP-1802-B1703,[],"['[2018] SGPDPC 26', '[2019] PDPC 3']","[['financial', 6000]]"
2020-01-09,Breach of the Protection Obligation by SAFRA National Service Association,SAFRA National Service Association,"Directions, including a financial penalty of $10,000, were imposed on SAFRA for failing to put in place reasonable security arrangements to protect the personal data of the members of its Shooting Club. SAFRA was also directed to review its internal processes to put in place process safeguards and written internal standard operating procedures to protect the personal data of its members.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision---SAFRA---161219.pdf?la=en,[2019] SGPDPC 45,DP-1809-B2711,[],[],"[['financial', 10000]]"
2020-01-09,Breach of the Protection and Retention Obligations by Globalsign.in Pte Ltd,Globalsign.in Pte Ltd,"A financial penalty of $34,000 was imposed on Globalsign.in for failing to put in place reasonable security arrangements to protect the personal data supplied by its clients. Globalsign.in, which sends mass marketing emails on behalf of its clients to their respective customers, was also found to be holding personal data which was no longer necessary for legal or business purposes.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Decision--MSIG-Insurance-Singapore-Pte-Ltd--191119.pdf?la=en,[2019] SGPDPC 43,DP-1708-B1066,[],"['[2017] SGPDPC 12', '[2019] SGPDPC 3', '[2019] SGPDPC 28', '[2019] SGPDPC 20', '[2019] SGPDPC 17', '[2019] SGPDPC 10']","[['financial', 34000]]"
2019-12-05,Breach of the Accountability Obligation by Saturday Club,Saturday Club,Saturday Club was found in breach of the PDPA for failing to put in place written policies and practices necessary to ensure its compliance with the PDPA. Saturday Club was directed to put in place a data protection policy to comply with the provisions of the PDPA and to conduct training to ensure its employees are aware of and comply with the requirements of the PDPA.,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Summary-Decision---Saturday-Club.pdf?la=en,,DP-1906-B4109,[],[],[]
2019-12-05,Breach of the Protection Obligation by Honestbee,Honestbee,"A financial penalty of $8,000 was imposed on Honestbee for failing to put in place reasonable security arrangements to protect the personal data of individuals. The data of about 8,000 individuals was stored in the cloud without access restrictions.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Summary-Decision---Honestbee.pdf?la=en,,DP-1905-B3827,[],[],"[['financial', 8000]]"
2019-12-05,Breach of the Protection and Accountability Obligations by Global Outsource Solutions,Global Outsource Solutions,"Global Outsource Solutions was found in breach of the PDPA for failing to put in place reasonable security arrangements to protect the personal data collected by its website and for failing to develop and implement data protection policies. This resulted in the disclosure of personal data of customers on the organisation’s online warranty registration portal. Global Outsource Solutions was directed to develop and implement policies for data protection and staff training in data protection, and to put all employees handling personal data through such training.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Summary-Decision---Global-Outsource.pdf?la=en,,DP-1809-B2767,[],[],[]
2019-12-05,Breach of the Protection Obligation by Chizzle,Chizzle,"Directions, including a financial penalty of $8,000, were imposed on Chizzle for failing to put in place reasonable security arrangements to protect the personal data of users of its mobile application in Re Chizzle Pte Ltd [2019] SGPDPC 44. The organisation was also directed to develop an IT security policy, review and revise its developmental processes in order to adopt a data protection by design approach for future enhancements to its mobile application.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---Chizzle-Pte-Ltd.pdf?la=en,[2019] SGPDPC 44,DP-1807-B2495,[],['[2018] SGPDPC 12'],"[['financial', 8000]]"
2019-12-05,Breach of the Protection and Accountability Obligations by The Travel Corporation (2011),The Travel Corporation (2011),"A financial penalty of $12,000 was imposed on The Travel Corporation (2011) for breaches of the PDPA. The Organisation failed to appoint a data protection officer and did not put in place reasonable security arrangements to protect its customers’ personal data stored in portable storage devices.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---The-Travel-Corporation-2011-Pte-Ltd.pdf?la=en,[2019] SGPDPC 42,DP-1810-B2821,[],['[2017] SGPDPC 15'],"[['financial', 12000]]"
2019-12-05,Breach of the Protection Obligation by i-vic International,i-vic International,"A financial penalty of $6,000 was imposed on i-vic International (i-vic) for failing to put in place reasonable security arrangements to protect the personal data of individuals which it had processed on another organisation’s behalf.  i-vic as the data intermediary did not put in place diligent and properly scoped testing of software which led to the disclosure of personal data of individuals via email.",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Commissions-Decisions/Grounds-of-Decision---i-vic-International.pdf?la=en,[2019] SGPDPC 41,DP-1804-B1991,[],[],"[['financial', 6000]]"
